,Week starting on...,1-Jan,8-Jan,15-Jan,22-Jan,1-Feb,8-Feb,15-Feb,22-Feb,1-Mar,8-Mar,15-Mar,22-Mar,1-Apr,8-Apr,15-Apr,22-Apr,1-May,8-May,15-May,22-May,1-Jun,8-Jun,15-Jun,22-Jun,1-Jul,8-Jul,15-Jul,22-Jul,1-Aug,8-Aug,15-Aug,22-Aug,1-Sep,8-Sep,15-Sep,22-Sep,1-Oct,8-Oct,15-Oct,22-Oct,1-Nov,8-Nov,15-Nov,22-Nov,1-Dec,8-Dec,15-Dec,22-Dec
Frequency (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gray-breasted Crake,0,0,0,0,0,0,2.857142857,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0.826446281,0,8.333333333,0.980392157,0,0.602409639,0,0,0,5.263157895,2.380952381,2.173913043,2.5,4.95049505,4.615384615,0,0,0,3.092783505,0,0,4.761904762,0,0,0,3.448275862,0
,Total # checklists submitted - (Gray-breasted Crake),19,19,22,9,15,12,35,52,22,13,22,16,29,20,12,57,12,33,29,91,92,121,62,36,102,130,166,205,47,41,38,42,46,80,101,65,50,64,26,97,61,45,21,5,6,20,29,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gray-breasted Crake,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0.166666667,0.009803922,0,0.006024096,0,0,0,0,0.023809524,0,0.025,0.03960396,0.030769231,0,0,0,0.041237113,0,0,0.047619048,0,0,0,0.034482759,0
,Total # checklists submitted - (Gray-breasted Crake),19,19,22,9,15,12,35,52,22,13,22,16,29,20,12,57,12,33,29,91,92,121,62,36,102,130,166,205,47,41,38,42,46,80,101,65,50,64,26,97,61,45,21,5,6,20,29,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds Per Party Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gray-breasted Crake,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.349206349,0.25,0,0,0,0,0,0,0.153846154,0,0.238095238,3.819444444,0.087206767,0,0,0,0.880675604,0,0,0.333333333,0,0,0,0.083333333,0
,# checklists reporting species - (Gray-breasted Crake),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,3,1,0,0,0,4,0,0,1,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gray-breasted Crake,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,2,0,0,1,0,0,0,1,0
,# checklists reporting species - (Gray-breasted Crake),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,1,0,1,1,0,0,2,1,1,2,5,3,0,0,0,4,0,0,1,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gray-breasted Crake,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,1,0,0,0,0,1,0,2,4,2,0,0,0,5,0,0,1,0,0,0,1,0
,# checklists reporting species - (Gray-breasted Crake),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,0,2,4,2,0,0,0,4,0,0,1,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gray-breasted Crake,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1.25,0,0,1,0,0,0,1,0
,# checklists reporting species - (Gray-breasted Crake),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,1,0,2,4,2,0,0,0,4,0,0,1,0,0,0,1,0
