,Week starting on...,1-Jan,8-Jan,15-Jan,22-Jan,1-Feb,8-Feb,15-Feb,22-Feb,1-Mar,8-Mar,15-Mar,22-Mar,1-Apr,8-Apr,15-Apr,22-Apr,1-May,8-May,15-May,22-May,1-Jun,8-Jun,15-Jun,22-Jun,1-Jul,8-Jul,15-Jul,22-Jul,1-Aug,8-Aug,15-Aug,22-Aug,1-Sep,8-Sep,15-Sep,22-Sep,1-Oct,8-Oct,15-Oct,22-Oct,1-Nov,8-Nov,15-Nov,22-Nov,1-Dec,8-Dec,15-Dec,22-Dec
Frequency (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White-throated Tinamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.296703297,5.434782609,1.652892562,0,0,0,0.769230769,1.807228916,5.365853659,0,2.43902439,0,0,2.173913043,0,0,1.538461538,0,0,0,5.154639175,11.47540984,8.888888889,0,0,0,0,3.448275862,0
,Total # checklists submitted - (White-throated Tinamou),19,19,22,9,15,12,35,52,22,13,22,16,29,20,12,57,12,33,29,91,92,121,62,36,102,130,166,205,47,41,38,42,46,80,101,65,50,64,26,97,61,45,21,5,6,20,29,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White-throated Tinamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032967033,0.119565217,0.016528926,0,0,0,0.023076923,0.054216867,0.053658537,0,0,0,0,0,0,0,0.015384615,0,0,0,0.030927835,0,0.111111111,0,0,0,0,0,0
,Total # checklists submitted - (White-throated Tinamou),19,19,22,9,15,12,35,52,22,13,22,16,29,20,12,57,12,33,29,91,92,121,62,36,102,130,166,205,47,41,38,42,46,80,101,65,50,64,26,97,61,45,21,5,6,20,29,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds Per Party Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White-throated Tinamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.548107834,0.437476565,0,0,0,0.472440945,0.501847966,0.266721612,0,0,0,0,0,0,0,0.226398008,0,0,0,0.184520187,0,0.401541637,0,0,0,0,0,0
,# checklists reporting species - (White-throated Tinamou),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,1,3,10,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White-throated Tinamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,0,0,3,5,2,0,1,0,0,1,0,0,1,0,0,0,1,1,3,0,0,0,0,1,0
,# checklists reporting species - (White-throated Tinamou),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,0,0,1,3,11,0,1,0,0,1,0,0,1,0,0,0,5,7,4,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White-throated Tinamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,2,0,0,3,9,11,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,0,0,0,0,0
,# checklists reporting species - (White-throated Tinamou),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,0,0,1,3,10,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White-throated Tinamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2,1,2,0,0,3,3,1.1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.666666667,0,0,0,0,0,0
,# checklists reporting species - (White-throated Tinamou),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,0,0,1,3,10,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0
