Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 9 16 22 -999 -999 908 -7.77 -47.84 -999 98.6 .69 217 8.8 -999 14.3 -999 -999 283.6 279.5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 16 23 -999 -999 908 -7.63 -47.86 105.4 97.9 1.15 201.5 1.4 -999 2.5 -999 -999 281.6 278.2 -999 -999 2.174 1.076 10.203 -999 -2.58 -3.21 -2.74 -3.96 -2.29 -6.37 -7.58 -10.2 1.36 -.34 -999 -999 -999 761.2 .8 -999 138 13.22
2016 9 17 0 -999 -999 909 -8.08 -48.27 105.4 97.4 1.66 196.7 .2 -999 -.2 -999 -999 280.1 274.8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 2 -999 -999 909 -7.91 -48.16 105.3 97.5 .53 203.6 0 -999 -.1 -999 -999 279.7 276.3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 3 -999 -999 909 -8.11 -48.37 106.1 98.1 .1 102.4 .1 -999 -.5 -999 -999 278.7 270 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 4 -999 -999 909 -8.7 -48.98 105.5 96.9 1.37 92.7 1.1 -999 -1.4 -999 -999 275.2 259.2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 5 -999 -999 909 -11.51 -51.63 105.9 94.7 3.06 87.8 1.2 -999 -2 -999 -999 269.1 249.8 -999 -999 2.204 1.084 10.204 -999 -2.6 -3.22 -2.75 -3.99 -2.31 -6.37 -7.57 -10.2 1.47 -.19 -999 -999 -999 754.7 1.1 -999 132 12.72
2016 9 17 6 -999 -999 909 -10.47 -50.8 105.6 95.4 2.75 87.9 2.7 -999 -.9 -999 -999 269.8 249 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 8 -999 -999 909 -9.5 -49.81 104.2 95 2.22 95.5 2.3 -999 -1 -999 -999 271.5 248.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 9 -999 -999 909 -8.99 -49.51 96.3 88.2 1.59 90.9 5.7 -999 6.7 -999 -999 271.4 253.6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 10 -999 -999 910 -10.73 -50.97 92 82.9 3.21 100.3 33.9 -999 18.3 -999 -999 270.9 250.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 11 -999 -999 910 -12.13 -52.39 97.7 86.8 4.4 102.4 89.5 -999 63.8 -999 -999 265.5 256 -999 -999 2.184 1.086 10.195 -999 -2.6 -3.22 -2.77 -4 -2.3 -6.35 -7.56 -10.18 1.59 -.2 -999 -999 -999 750.1 1 -999 133 12.88
2016 9 17 12 -999 -999 910 -10.97 -51.22 96.4 86.6 3.99 104 127.1 -999 93.3 -999 -999 271.9 259.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 13 -999 -999 910 -9.02 -49.25 89.7 82.2 3.7 102.1 191.4 -999 129.8 -999 -999 280 259.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 14 -999 -999 910 -10.69 -50.84 94.3 85 4.18 99.2 186.2 -999 147.2 -999 -999 274.1 259.3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 15 -999 -999 910 -9.16 -49.26 90.2 82.5 3.55 105.2 133.6 -999 148.5 -999 -999 279.7 263.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 17 -999 -999 910 -8.12 -48.05 86.3 79.8 2.91 97.5 280.4 -999 309.9 -999 -999 282.8 280 -999 -999 2.194 1.096 10.195 -999 -2.6 -3.22 -2.79 -4.03 -2.29 -6.35 -7.55 -10.17 1.26 -.33 -999 -999 -999 765.5 .9 -999 155 14.59
2016 9 17 18 -999 -999 910 -9.8 -49.68 92.5 84.1 3.64 98.4 185.5 -999 193.2 -999 -999 275.1 267.2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 19 -999 -999 910 -10.06 -50.1 96.9 87.9 3.96 98 195.8 -999 194.2 -999 -999 272.5 266.4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 20 -999 -999 910 -10.05 -50.16 98.9 89.7 3.98 95.7 154.7 -999 144.8 -999 -999 274.1 263.7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 21 -999 -999 910 -8.53 -48.7 94.5 87 3.27 99 103.2 -999 89.6 -999 -999 278.2 260.5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 17 23 -999 -999 911 -9.64 -49.99 99.9 91 2.26 80.2 3.6 -999 .5 -999 -999 272.8 248.3 -999 -999 2.198 1.112 10.196 -999 -2.62 -3.24 -2.82 -4.06 -2.31 -6.35 -7.55 -10.17 1.41 -.13 -999 -999 -999 764.8 .9 -999 138 13.65
