Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(ddmm) LongitudeGPS_HDOP<1(ddmm) ElevationGPS_HDOP<1(m) FanOK(%)
2010 8 128 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 100
2010 9 129 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 100
2010 10 130 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2010 11 131 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2010 12 132 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2011 1 133 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2011 2 134 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2011 3 135 911.93 -999 -999 -999 6.91 94.4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2011 4 136 906.33 -999 -999 -999 5.03 96 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2011 5 137 923.38 -999 -999 -999 8.41 105.8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2011 6 138 929.77 -999 -999 -999 6.97 102.2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 100
2011 7 139 921.86 3.38 3.55 76.1 6.97 95 292.6 293.2 169.2 168.4 .56 277.3 319.1 2.487 -999 -999 -999 100
2011 8 140 926.03 1.27 1.5 83.3 5.14 98.9 161.3 161.9 80.6 79.8 .509 281.9 313.5 2.711 -999 -999 -999 100
2011 9 141 911.14 -6.42 -6.29 86.8 6.86 111.2 73 77.7 64.1 63.6 -999 248.6 278.3 2.336 -999 -999 -999 100
2011 10 142 913.64 -13.8 -13.47 95.4 7.37 106.1 12 13.2 10.9 10.7 -999 233 251.8 2.039 -999 -999 -999 83
2011 11 143 909.11 -16.1 -15.65 89.2 -999 -999 -1.1 .1 .3 .1 -999 226 241.1 1.819 -999 -999 -999 100
2011 12 144 904.38 -22.45 -21.5 86.3 5.42 99.8 -2.1 0 .5 0 -999 185.7 215 1.785 -999 -999 -999 100
2012 1 145 907.33 -24.15 -23.22 81.5 7.44 100.4 -1.8 0 .3 0 -999 175.2 207.3 1.788 -999 -999 -999 100
2012 2 146 908.21 -24.85 -24.11 86.9 7.39 104.7 5.6 5.5 4.8 4.3 -999 181.1 208.4 1.775 -999 -999 -999 100
2012 3 147 912.53 -27.33 -26.59 85.2 6.49 100.9 63.5 55.2 44 43.8 -999 160.9 198.1 1.778 -999 -999 -999 100
2012 4 148 921.19 -15.54 -14.8 73.3 5.17 97.2 179.2 180.6 137.6 137.2 -999 188.8 237.2 1.796 -999 -999 -999 100
2012 5 149 925.37 -7.25 -7.13 81.2 6.17 103.8 285.4 286.4 226.2 224.7 .788 233.9 279 1.783 -999 -999 -999 100
2012 6 150 928.01 .32 .1 81.3 7.75 110 309.1 311.7 239.6 239 .778 273.5 311.7 1.964 -999 -999 -999 100
2012 7 151 922.48 2.94 2.75 85.8 7.05 101.9 247.9 248.4 121.8 121.2 .469 293.3 319.2 2.506 -999 -999 -999 87
2012 8 152 922.38 .34 .24 79.5 6.17 99.6 168.2 167.5 103.7 103 .634 268.9 307.3 2.512 -999 -999 -999 87
2012 9 153 914.88 -4.15 -4.52 85.8 7.93 95.5 71.9 76.3 56.6 55.3 -999 260.1 289.8 2.471 -999 -999 -999 100
2012 10 154 920.56 -9.4 -9.57 86 6.12 99.3 8.7 12.9 9.3 9.5 -999 246 266.3 2.205 -999 -999 -999 100
2012 11 155 913.46 -15.19 -15.33 92.4 6.04 98.9 -1.2 .1 .3 0 -999 230.3 244.8 1.785 -999 -999 -999 100
2012 12 156 919.58 -19.4 -19.51 86.2 5.77 83.1 -1.8 0 .3 0 -999 201.8 228 1.693 -999 -999 -999 100
2013 1 157 906.49 -20.81 -20.91 79.7 6.55 91.3 -1.9 0 .2 0 -999 187.9 220.7 1.694 -999 -999 -999 67
2013 2 158 914.31 -23.85 -23.92 89.1 6.62 93.1 4 4.5 3.8 3.2 -999 179.6 212.1 1.741 -999 -999 -999 35
2013 3 159 930.71 -17.65 -17.77 81.1 7.24 93.8 56.2 57.9 42.1 41.4 -999 196.9 233.6 1.748 -999 -999 -999 100
2013 4 160 920.27 -17.01 -16.97 83.6 7.01 95.2 173.2 171.2 130.1 128.3 .754 194 238.2 1.737 -999 -999 -999 100
2013 5 161 922.63 -13.13 -12.89 81.2 5.19 90.2 296.5 297 240.2 239.1 .807 208.1 256 1.653 -999 -999 -999 100
2013 6 162 918.3 -2.14 -2.41 84.2 6.24 99.5 304.6 305.9 245.4 244.2 .807 266 302.5 1.738 -999 -999 -999 100
2013 7 163 919.92 .31 -.22 81 6.56 98.4 280.4 280.7 213.5 212.3 .766 270.5 311 1.943 -999 -999 -999 100
2013 8 164 915.97 -1.36 -1.46 84.6 7.12 93.5 161.3 160.1 124.5 123.3 .787 275.5 304 2.171 -999 -999 -999 100
2013 9 165 915.6 -6.9 -6.92 83.7 6.12 94.3 68.5 65 59.7 59.5 -999 246 275.8 1.811 -999 -999 -999 100
2013 10 166 918.65 -10.9 -10.96 88 -999 -999 11.7 11.6 10.1 10.2 -999 240.1 260 1.761 -999 -999 -999 100
2013 11 167 908.39 -20.56 -20.6 90.3 7.29 94 -1.5 .1 .3 .1 -999 202.2 225 1.722 -999 -999 -999 100
2013 12 168 905.88 -22.74 -22.8 83.7 5.81 94.1 -1.9 0 .4 0 -999 182.9 213.1 1.723 -999 -999 -999 100
2014 1 169 908.28 -18.14 -18.19 88.2 7.33 95.6 -1.5 0 .2 0 -999 209.2 238.1 1.725 -999 -999 -999 9
2014 2 170 909.19 -21.26 -21.39 72.7 5.4 83.7 2.8 5 3.6 3.2 -999 178 215.1 1.724 -999 -999 -999 32
2014 3 171 909.9 -22.68 -22.69 80.7 6.08 87.1 61.3 62.3 43.2 36.7 -999 176.3 213.2 1.722 -999 -999 -999 100
2014 4 172 917.19 -18.49 -18.44 82.8 7.64 91 160.7 168.4 128 124.2 -999 193.3 232.3 1.717 -999 -999 -999 100
2014 5 173 923.96 -10.45 -10.3 83.1 6.71 100.8 276.1 275.4 223.4 221.9 .808 227.8 266 1.689 -999 -999 -999 100
2014 6 174 922.11 -1.48 -1.53 86.4 7.16 98.6 294 293.2 236.4 235.2 .812 276.4 306.2 1.592 -999 -999 -999 100
2014 7 175 922.59 1.72 1.81 86.8 6.57 93.3 241.3 241.3 154.2 153.8 .616 289.3 317.7 2.071 -999 -999 -999 100
2014 8 176 920.85 -.69 -.65 86.7 9.27 100.1 127.9 128.3 103.1 102.5 .796 289.1 307.3 2.24 -999 -999 -999 100
2014 9 177 912.09 -6.1 -6.07 85.1 5.68 87.8 77.6 79.3 64.7 64.9 -999 244.5 279.7 2.083 -999 -999 -999 100
2014 10 178 920.31 -11.78 -11.81 86.8 5.21 83.1 14.1 14 11.2 11.3 -999 231.1 254.8 2.239 -999 -999 -999 100
2014 11 179 909.14 -16.02 -16.08 87.5 5.96 94.4 -1.6 .1 .4 .1 -999 218.3 240 1.855 -999 -999 -999 100
2014 12 180 908.42 -22.79 -22.84 87.4 7.12 88.6 -1.9 0 .4 0 -999 186.2 216.5 1.797 -999 -999 -999 51
2015 1 181 904.39 -24.51 -24.58 89.8 7.8 88.1 -1.8 0 .3 0 -999 179.5 210.5 1.827 -999 -999 -999 -999
2015 2 182 907.45 -30.17 -30.23 84.9 6.19 80.1 4.2 4.9 4.3 3.8 -999 154.7 188.5 1.846 -999 -999 -999 50
2015 3 183 904.19 -21.18 -21.19 77.6 7.18 87.3 57 54.8 42.8 42.4 -999 175.1 217.1 1.965 -999 -999 -999 100
2015 4 184 916.81 -20.87 -20.8 75.8 6.99 86.4 177.4 174.8 133.7 132 .759 174.8 221.9 1.927 -999 -999 -999 100
2015 5 185 917.37 -9.9 -9.7 82.3 5.84 89.6 301.6 299.6 237 235.4 .781 214.6 267.4 1.987 -999 -999 -999 100
2015 6 186 924.1 -1.14 -.76 76 5.41 95 350.2 351.1 264.5 262.5 .749 249 304.4 2.33 -999 -999 -999 90
2015 7 187 931.08 3.59 3.75 74.1 6.07 89.1 288.7 293.1 143.2 142.8 .499 274.1 319 2.172 -999 -999 -999 100
2015 8 188 923.56 -.41 -.36 76.4 5.17 88.1 190.9 199.4 135.6 134.2 .67 254.1 304 2.351 -999 -999 -999 100
2015 9 189 917.02 -7.31 -7.41 89.4 -999 -999 70.3 84.3 60.8 58.9 -999 245.8 276.8 2.338 -999 -999 -999 100
2015 10 190 909.2 -11.28 -11.36 92.4 7.45 104.4 9.7 13.3 10.2 9.5 -999 243.3 260.4 2.117 -999 -999 -999 93
2015 11 191 909.96 -19.49 -19.53 96.9 -999 -999 -.6 .1 .2 .1 -999 222.3 232.6 1.916 -999 -999 -999 100
2015 12 192 905.6 -26.66 -26.66 89 6.16 83.8 -1.8 0 .2 0 -999 171.1 201.6 1.809 -999 -999 -999 29
2016 1 193 911.49 -18.44 -18.55 68.6 6.37 82.1 -2.3 0 .2 0 -999 179.2 224.1 1.984 -999 -999 -999 -999
2016 2 194 910.21 -21.78 -21.79 81.9 6.72 85.8 2.3 3.7 4.2 3 -999 180.4 216.2 1.894 -999 -999 -999 58
2016 3 195 908.34 -20.87 -20.85 85.5 6.11 88 54 53.8 45.5 45 -999 185.2 220.2 1.858 -999 -999 -999 100
2016 4 196 920.72 -12.47 -12.42 86.5 8.11 96.8 155.4 154.3 129.2 127.5 -999 225.2 256.9 1.756 -999 -999 -999 100
2016 5 197 921.11 -6.25 -6.1 79.3 6.01 93.7 286.1 290.8 235.7 234 .805 235 281.3 1.611 -999 -999 -999 100
2016 6 198 923.57 -.93 -.79 78.7 5.57 93.2 330.6 331.6 255.8 254.3 .774 261.9 306.4 1.731 -999 -999 -999 100
2016 7 199 925.93 2.71 2.69 80.3 -999 -999 290.4 293.4 194.2 193.1 .599 275.9 318.1 2.213 -999 -999 -999 100
2016 8 200 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .645 -999 -999 2.497 7625.1797 6808.775 763.1 100
2016 9 201 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 100
