,Week starting on...,1-Jan,8-Jan,15-Jan,22-Jan,1-Feb,8-Feb,15-Feb,22-Feb,1-Mar,8-Mar,15-Mar,22-Mar,1-Apr,8-Apr,15-Apr,22-Apr,1-May,8-May,15-May,22-May,1-Jun,8-Jun,15-Jun,22-Jun,1-Jul,8-Jul,15-Jul,22-Jul,1-Aug,8-Aug,15-Aug,22-Aug,1-Sep,8-Sep,15-Sep,22-Sep,1-Oct,8-Oct,15-Oct,22-Oct,1-Nov,8-Nov,15-Nov,22-Nov,1-Dec,8-Dec,15-Dec,22-Dec
Frequency (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red-throated Piping-Guan,0,0,0,0,0,0,0,1.923076923,0,0,0,18.75,0,0,0,0,0,0,0,0,2.173913043,3.305785124,0,0,0,0,1.807228916,1.463414634,10.63829787,0,0,0,0,0,0,1.538461538,0,0,0,1.030927835,1.639344262,4.444444444,0,0,0,0,0,0
,Total # checklists submitted - (Red-throated Piping-Guan),19,19,22,9,15,12,35,52,22,13,22,16,29,20,12,57,12,33,29,91,92,121,62,36,102,130,166,205,47,41,38,42,46,80,101,65,50,64,26,97,61,45,21,5,6,20,29,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red-throated Piping-Guan,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0.032608696,0.049586777,0,0,0,0,0.024096386,0.019512195,0.191489362,0,0,0,0,0,0,0.046153846,0,0,0,0.020618557,0,0.022222222,0,0,0,0,0,0
,Total # checklists submitted - (Red-throated Piping-Guan),19,19,22,9,15,12,35,52,22,13,22,16,29,20,12,57,12,33,29,91,92,121,62,36,102,130,166,205,47,41,38,42,46,80,101,65,50,64,26,97,61,45,21,5,6,20,29,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds Per Party Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red-throated Piping-Guan,0,0,0,0,0,0,0,0,0,0,0,0.391025641,0,0,0,0,0,0,0,0,7.676956976,1.345821434,0,0,0,0,0.232323232,0.373504274,0.753623188,0,0,0,0,0,0,0.25,0,0,0,0.166666667,0,0.233481205,0,0,0,0,0,0
,# checklists reporting species - (Red-throated Piping-Guan),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,3,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red-throated Piping-Guan,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,3,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,0,0
,# checklists reporting species - (Red-throated Piping-Guan),0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,3,5,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red-throated Piping-Guan,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,4,4,9,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0
,# checklists reporting species - (Red-throated Piping-Guan),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,3,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Red-throated Piping-Guan,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1.333333333,1.333333333,2.25,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0
,# checklists reporting species - (Red-throated Piping-Guan),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,3,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
